custom_id,annotation,unprocessed,processed,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust,intensity
1269431928295391232,2.0,De domste tweet reactie vandaag was toch wel van iemand die mij verweet het goed te keuren dat bij protesten in Amerika een blanke politieagent door zwarte betogers in brand was gestoken.   Waarom doen mensen hun huiswerk zo slecht?!,domste tweet reactie vandaag verweet goed keuren protesten amerika blanke politieagent zwarte betogers brand gestoken mensen huiswerk slecht,2.0,5.0,1.0,1.0,1.0,6.0,1.0,3.0,1.0,4.0,0.453
1269436899304726528,2.0,Je mag zelf wel even bellen want je ziet er echt niet goed uit helemaal wit ik denk dat je last hebt van corona je moet snel een vaccin hebben eentje waarvan je de waarheid verteld aan de burger en zegt o sorry ik heb het allemaal verkeerd gedaan.,bellen ziet echt goed helemaal wit denk last corona snel vaccin eentje waarvan waarheid verteld burger zegt o sorry allemaal verkeerd gedaan,10.0,2.0,1.0,2.0,0.0,2.0,2.0,1.0,2.0,4.0,0.333
1269443600754057216,0.0,vraag me beetje af wat de tokkies hadden verzonnen als argument tegen de protesten als corona er niet was? mijn gok is hebben die mensen niks beters te doen ze moeten werk zoeken maar met tokkies weet je het nooit. kan net zo goed boselfjes zijn.,vraag beetje tokkies verzonnen argument protesten corona gok mensen niks beters werk zoeken tokkies weet nooit goed boselfjes,3.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,2.0,0.545
1269469501571117056,0.0,@verwilderd @EJBron2 wordt  moe van die protesten. 80% van die zwarten die eraan meedoen interesseert het geen moer dat ie dood is. het is voor hun een  gelegenheid om winkels leeg te roven en vernielingen aan te richten.als je met 5 nike dozen onder je arm loopt  ben je gewoon een ordinaire dief,moe protesten zwarten eraan meedoen interesseert moer ie dood gelegenheid winkels leeg roven vernielingen richtenals nike dozen arm loopt ordinaire dief,0.0,4.0,2.0,1.0,2.0,2.0,0.0,3.0,2.0,0.0,0.5675
1269504684429058048,2.0,@NUnl Mischien weten hun in america meer wand valt me op dat er ook blanken mee lopen mischien is er uitgekomen dat corona toch allemaal een groot leugen is en dat dit mischien hier ook gaat gebeuren,mischien weten america wand valt blanken mee lopen mischien uitgekomen corona allemaal groot leugen mischien gaat gebeuren,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.25
1269505347531739136,0.0,@KimBoon94 Ik hoop dat die gl trut een schop onder haar reet krijgt netjes gezegd en nergens meer aan de bak komt en van een bijstandsuitkering kan gaan leven wat een achterlijke trut is dit wijf zoveel mensen hebben zich opgeofferd voor de coronacrisis en nog steeds en zij fucking 0,hoop gl trut schop reet krijgt netjes gezegd nergens bak komt bijstandsuitkering gaan leven achterlijke trut wijf zoveel mensen opgeofferd coronacrisis fucking,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
1269515583135064064,0.0,Kans dat het hier komt klein. Kans dat kids elkaar besmetten klein. Kans op presymptomatische verspreiding klein. Kans op datalekken klein. Enz enz enz enz. Leugenachtige hoeren van @rivm kunnen we niet meer vertrouwen.,kans komt klein kans kids elkaar besmetten klein kans presymptomatische verspreiding klein kans datalekken klein enz enz enz enz leugenachtige hoeren vertrouwen,3.0,4.0,0.0,1.0,3.0,1.0,1.0,0.0,1.0,4.0,0.0
1269524557070839808,2.0,Ik ben er zeker van dat het geen blanken zullen zijn die met een #Coronavaccin voor de dag zullen komen.,zeker blanken coronavaccin dag komen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1269530901710594048,2.0,@Rudpren Howla.. dit filmpje toont exact het probleem.. jullie probleem is dat het over een blanke gaat.. maar dit soort onredelijk geweld is typisch voor de Amerikaanse politie.. vandaar de protesten,howla filmpje toont exact probleem probleem blanke gaat soort onredelijk geweld typisch amerikaanse politie vandaar protesten,1.0,3.0,1.0,0.0,1.0,2.0,1.0,2.0,0.0,1.0,0.742
1269535355876839424,2.0,Nou dit heb ik nergens in de NL media gezien iemand anders wel? Protesten waar je alleen blanke mensen of latinos ziet hebben niks met #GeorgeFloydProtests te maken! Niks! Vind ik. https://t.co/Gtvkv3OpKj,nou nergens nl media gezien protesten blanke mensen latinos ziet niks georgefloydprotests maken niks vind,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
